disease,description,home_remedies,medicine_category,consult_if,severity
dislocation of the shoulder,Shoulder ball pops out of socket causing severe pain and deformity.,Immobilize arm in sling · Ice pack · Seek immediate care for reduction,Analgesics · Muscle relaxants · Closed reduction · Physical therapy · Surgery,Any suspected dislocation requires immediate medical reduction,moderate
osteoporosis,Reduced bone density increasing fracture risk especially in hips and spine.,Weight-bearing exercise · Calcium-rich diet · Vitamin D · Quit smoking · Avoid alcohol,Bisphosphonates · Denosumab · Teriparatide · Calcium and vitamin D supplements,"Fracture with minimal trauma, severe back pain, or height loss",moderate
sickle cell crisis,Painful vaso-occlusive episode from sickle cell anemia causing severe bone pain.,Hydration · Warmth · Gentle exercise · Avoid cold and dehydration · Folic acid,Analgesics · IV fluids · Hydroxyurea · Blood transfusion · Oxygen therapy,"Severe pain uncontrolled at home, fever, or breathing difficulty",severe
prostatitis,Inflammation of the prostate gland causing pelvic pain and urinary symptoms.,Warm sitz bath · Avoid caffeine and alcohol · Plenty of fluids · Avoid long sitting,Antibiotics · Alpha blockers · NSAIDs · Muscle relaxants · Prostate massage,"Fever with urinary symptoms, inability to urinate, or severe pain",moderate
vitamin d deficiency,"Insufficient vitamin D causing bone pain, muscle weakness and immune dysfunction.",Sunlight 15-30 minutes daily · Fortified foods · Fatty fish · Eggs · Mushrooms,Vitamin D3 supplements · Calcium supplements · Multivitamins · Weekly high-dose D3,"Severe bone pain, stress fractures, or blood level below 10 ng/mL",mild
tuberculosis,Serious airborne bacterial lung infection requiring 6-month treatment.,Adequate nutrition · Ventilate living spaces · Sunlight · DOTS compliance · Mask use,Rifampicin · Isoniazid · Pyrazinamide · Ethambutol — 6-month DOTS regimen,Always — TB requires mandatory supervised prescription treatment,severe
acute bronchitis,Short-term bronchial tube inflammation usually from infection causing cough.,Rest · Steam inhalation · Honey lemon tea · Hydration · Elevate head during sleep,Bronchodilators · Expectorants · Cough suppressants · Antibiotics only if bacterial,"Fever above 38.5°C, breathlessness, or cough lasting beyond 3 weeks",mild
myocarditis,Inflammation of heart muscle usually from viral infection causing chest pain.,Strict rest · Avoid strenuous activity · Heart-healthy diet · Regular monitoring,Diuretics · ACE inhibitors · Beta blockers · IVIG · Immunosuppressants,"Chest pain, breathlessness at rest, fainting, or irregular heartbeat",severe
preeclampsia,Pregnancy complication with high blood pressure and organ damage.,Rest · Low salt diet · Monitor blood pressure at home · Regular antenatal visits,Antihypertensives · Magnesium sulfate · Corticosteroids · Delivery of baby,"Severe headache, vision changes, or swelling during pregnancy — emergency",severe
ischemic heart disease,Reduced blood flow to heart muscle from coronary artery narrowing.,Heart-healthy diet · Regular exercise · Quit smoking · Stress management,Aspirin · Statins · Beta blockers · Nitrates · ACE inhibitors · Angioplasty,"Chest pain on exertion, breathlessness, or jaw and arm pain",severe
chickenpox,Highly contagious viral infection causing itchy blister rash and fever.,Oatmeal bath · Calamine lotion · Trim nails · Neem leaves · Cool compress,Antihistamines · Paracetamol · Acyclovir for high-risk cases · Calamine lotion,"Bacterial skin infection, high persistent fever, breathing difficulty, or immunocompromised",mild
croup,Viral respiratory infection causing barking cough and breathing difficulty in children.,Cool mist humidifier · Calm child · Cool night air · Upright position · Hydration,Dexamethasone · Nebulized epinephrine · Oxygen · Supportive care,"Stridor at rest, severe breathing difficulty, or cyanosis",moderate
lyme disease,Tick-borne bacterial infection causing rash and flu-like illness.,Remove tick promptly · Rest · Stay hydrated · Monitor for bull's eye rash · Tick prevention,Doxycycline · Amoxicillin · Cefuroxime — all require prescription,"Bull's eye rash, joint pain, neurological symptoms, or heart problems",moderate
acne,"Skin condition causing pimples, blackheads and whiteheads from clogged pores.",Gentle face wash · Non-comedogenic moisturizer · Avoid touching face · Tea tree oil,Benzoyl peroxide · Salicylic acid · Retinoids · Antibiotics for moderate-severe,"Severe cystic acne, scarring, or no response to OTC treatment",mild
depression,"Persistent low mood, loss of interest and energy affecting daily functioning.",Regular exercise · Social support · Sunlight exposure · Sleep hygiene · Therapy,SSRIs · SNRIs · Tricyclics · Bupropion · Mirtazapine,Suicidal ideation or complete inability to function,moderate
irritable bowel syndrome,"Functional bowel disorder causing abdominal pain, bloating and altered stools.",High fiber diet · Stress management · Regular meals · Peppermint tea · Probiotics,Antispasmodics · Laxatives · Loperamide · Low-dose antidepressants · Rifaximin,"Blood in stool, weight loss, or symptoms starting after age 50",mild
ovarian cyst,Fluid-filled sac on ovary causing pelvic pain or discovered incidentally.,Heat pad for pain · Hydration · Regular monitoring · Low impact exercise,NSAIDs · Hormonal contraceptives · Surgical cystectomy for large or complex cysts,"Sudden severe pelvic pain, fever, vomiting, or cyst rupture signs",mild
chlamydia,Most common bacterial STI causing genital discharge and burning urination.,Safe sex · Avoid sexual contact until treated · Partner notification and treatment,Azithromycin · Doxycycline · Partner treatment mandatory,Always requires prescription treatment and sexual partner notification,moderate
rheumatoid arthritis,Chronic autoimmune disease causing symmetric joint inflammation and deformity.,Warm compresses · Gentle exercise · Fish oil · Turmeric · Weight management,DMARDs · NSAIDs · Corticosteroids · Biologics (TNF inhibitors) · JAK inhibitors,"Sudden joint swelling, fever, or rapid loss of joint function",moderate
impetigo,Highly contagious bacterial skin infection causing honey-colored crusted sores.,Keep area clean · Dilute bleach soaks · Separate towels and linens · Trim nails,Topical mupirocin · Oral antibiotics · Antiseptic wash · Proper wound care,"Spreading infection, fever, or involvement of large areas",mild
migraine,"Severe recurrent headache with nausea, vomiting and light sensitivity.",Dark quiet room · Cold pack · Peppermint oil on temples · Hydration,Triptans · NSAIDs · Antiemetics · Ergotamines · Preventive beta blockers,"Headache lasting over 72 hours, vision loss, or worst headache ever",moderate
gestational diabetes,Diabetes developing during pregnancy affecting mother and baby health.,Low glycemic diet · Regular walking · Monitor blood sugar · Adequate sleep,Metformin · Insulin · Dietary management · Regular monitoring,Always requires obstetric and endocrinology management during pregnancy,moderate
multiple myeloma,Cancer of plasma cells in bone marrow causing bone pain and immune weakness.,Seek specialist care immediately — infection prevention · Adequate nutrition,Bortezomib · Thalidomide · Lenalidomide · Stem cell transplant · Bisphosphonates,Always requires immediate hematology oncology specialist care,severe
malaria,"Mosquito-borne parasitic infection causing cyclical fever, chills and sweats.",Rest · ORS · Cool compresses for fever · Mosquito net and repellent,Artemisinin combination therapy · Chloroquine · Primaquine · Quinine,Immediately — malaria requires prescription antimalarials,severe
schizophrenia,"Serious mental disorder causing hallucinations, delusions and disorganized thinking.",Regular routine · Family support · Avoid drugs and alcohol · Safe environment,Atypical antipsychotics · Typical antipsychotics · Mood stabilizers · Clozapine,"Acute psychosis, self-harm risk, or inability to care for self",severe
endocarditis,Infection of heart valve lining by bacteria causing fever and heart murmur.,Seek emergency care immediately — hospital treatment required,IV antibiotics · Surgical valve replacement · Prolonged antibiotic course,Always requires immediate hospitalization and cardiac evaluation,severe
sepsis,Life-threatening systemic response to infection causing multi-organ dysfunction.,Seek emergency care immediately,IV antibiotics · IV fluids · Vasopressors · Oxygen · ICU supportive care,Immediately — sepsis is a life-threatening medical emergency,severe
heat stroke,Severe heat illness with core temperature above 40°C causing organ damage.,Move to cool area immediately · Remove clothing · Cool wet cloths · Ice packs to groin,IV fluids · Cooling measures · Oxygen · ICU monitoring · Anti-seizure if needed,Any suspected heat stroke — call emergency services immediately,severe
cholecystitis,Gallbladder inflammation usually from gallstones causing severe right upper abdominal pain.,Nil by mouth · Rest · Hydration · Low fat diet on recovery,Antibiotics · Analgesics · IV fluids · Laparoscopic cholecystectomy,"Severe abdominal pain, fever, jaundice, or rigid abdomen",severe
cardiac arrest,Sudden loss of heart function requiring immediate CPR and defibrillation.,Seek emergency care immediately — call 112 · Start CPR immediately,CPR · Defibrillation · Epinephrine · Amiodarone · ICU post-arrest care,Immediately — cardiac arrest is fatal without immediate intervention,severe
cardiomyopathy,Disease of heart muscle causing reduced pumping function and heart failure.,Low sodium diet · Fluid restriction · Avoid alcohol · Regular monitoring,ACE inhibitors · Beta blockers · Diuretics · ICD · Heart transplant if severe,"Breathlessness at rest, ankle swelling, or fainting",severe
meningitis,Inflammation of membranes surrounding brain and spinal cord often from infection.,Seek emergency care immediately,IV antibiotics · Antiviral medications · Corticosteroids · ICU supportive care,Immediately — meningitis is a life-threatening emergency requiring hospitalization,severe
raynaud disease,Exaggerated vascular response to cold or stress causing finger color changes.,Warm gloves · Avoid cold exposure · Quit smoking · Stress management · Exercise,Calcium channel blockers · Vasodilators · Aspirin · Topical nitrates,"Skin ulcers, digital gangrene, or associated autoimmune disease",mild
scabies,Skin infestation by mites causing intense itching especially at night.,Wash all clothing and bedding in hot water · Treat all household members · Vacuum furniture,Permethrin cream · Ivermectin · Antihistamines for itch · Antibiotics if secondary infection,If entire household affected or secondary bacterial infection develops,mild
high blood pressure,Persistently elevated blood pressure increasing risk of heart disease and stroke.,Low sodium diet · Regular exercise · Stress reduction · Reduce alcohol · DASH diet,ACE inhibitors · ARBs · Calcium channel blockers · Diuretics · Beta blockers,BP consistently above 160/100 or sudden severe headache with vision changes,moderate
pelvic inflammatory disease,Infection of female reproductive organs causing pelvic pain and discharge.,Rest · Hydration · Complete full antibiotic course · Avoid intercourse during treatment,Antibiotics (combination) · Analgesics · Partner treatment · Hospitalization if severe,"Fever, severe pain, vomiting, or suspected abscess",moderate
liver disease,Broad term for conditions causing liver damage and impaired liver function.,Avoid alcohol completely · Low fat diet · Adequate protein · Avoid hepatotoxic drugs,Depends on cause — antivirals · Corticosteroids · Diuretics · Liver transplant,"Jaundice, swollen abdomen, confusion, or vomiting blood",severe
chronic constipation,Infrequent difficult bowel movements persisting for more than 3 months.,High fiber diet · Plenty of water · Regular exercise · Prune juice · Respond to urge promptly,Laxatives · Stool softeners · Osmotic agents · Prokinetics · Biofeedback therapy,"Blood in stool, weight loss, new onset after age 50, or severe abdominal pain",mild
thyroid cancer,Malignant tumor of thyroid gland usually presenting as painless neck lump.,Seek specialist care immediately — regular monitoring after treatment,Surgical thyroidectomy · Radioactive iodine · Levothyroxine · External radiation,Always requires immediate endocrinology and oncology specialist evaluation,severe
flu,"Contagious viral respiratory infection causing fever, body aches and fatigue.",Rest · Hydration · Steam inhalation · Ginger tea · Honey lemon water,Paracetamol · Oseltamivir · Decongestants · Antihistamines,"Fever lasting more than 3 days, breathing difficulty, or severe weakness",mild
sprain or strain,Injury to ligament or muscle from overstretching causing pain and swelling.,RICE — Rest Ice Compress Elevate · Gentle movement after 48 hours · Turmeric paste,NSAIDs · Topical analgesics · Muscle relaxants · Physiotherapy,"Severe pain, inability to bear weight, or suspected fracture",mild
appendicitis,Inflammation of appendix causing severe right lower abdominal pain — emergency.,Seek emergency care immediately — do not use home remedies,IV antibiotics · Surgical appendectomy — emergency procedure,Any suspicion of appendicitis is a medical emergency,severe
graves disease,"Autoimmune hyperthyroidism causing enlarged thyroid, rapid heartbeat and eye problems.",Avoid iodine-rich foods · Stress management · Regular monitoring · Selenium foods,Antithyroid drugs · Beta blockers · Radioactive iodine · Thyroidectomy,"Thyroid storm, severe eye disease, or uncontrolled hyperthyroidism",severe
pregnancy,Normal physiological state of carrying developing fetus requiring regular monitoring.,Folic acid · Regular antenatal visits · Adequate nutrition · Rest · Exercise as tolerated,Folic acid · Iron · Calcium · Prenatal vitamins · Treat complications as needed,"Heavy bleeding, severe pain, reduced fetal movement, or hypertension",mild
septic arthritis,"Joint infection causing severe pain, swelling, warmth and fever.",Seek emergency care immediately — joint drainage required,IV antibiotics · Surgical joint washout · Analgesics · Physiotherapy after resolution,Immediately — septic arthritis can permanently destroy joint without treatment,severe
urinary tract infection,"Bacterial infection causing burning urination, frequency and pelvic discomfort.",Cranberry juice · Increased water intake · Avoid irritants · Heat pad on abdomen,Antibiotics · Urinary alkalizers · Analgesics · Probiotics during treatment,"Fever with chills, back pain, or symptoms persisting beyond 3 days",moderate
scoliosis,Lateral curvature of spine causing uneven shoulders and waist.,Posture awareness · Back strengthening exercises · Swimming · Regular monitoring,Bracing · Physical therapy · Surgical spinal fusion for severe curves,"Rapid curve progression, back pain, breathing difficulty, or neurological symptoms",moderate
epilepsy,Neurological disorder causing recurrent unprovoked seizures from abnormal brain activity.,Regular sleep · Avoid alcohol and flashing lights · Stress management · Seizure diary,Valproate · Levetiracetam · Lamotrigine · Phenytoin · Carbamazepine,"Seizure lasting over 5 minutes, injury, or new onset seizures",severe
prostate cancer,Malignant tumor of prostate gland often slow growing but potentially aggressive.,Seek specialist care immediately — healthy diet · Regular monitoring of PSA,Surgery (prostatectomy) · Radiation · Hormone therapy · Chemotherapy · Immunotherapy,Always requires immediate urology oncology specialist evaluation,severe
chronic pancreatitis,Long-term pancreatic inflammation causing persistent pain and malabsorption.,Avoid alcohol completely · Low fat diet · Small frequent meals · Adequate hydration,Pancreatic enzyme supplements · Analgesics · Fat-soluble vitamins · Insulin if needed,"Severe pain, weight loss, diabetes onset, or suspected pancreatic cancer",severe
burn,"Tissue damage from heat, chemicals or radiation requiring wound care.",Cool running water for 20 minutes · Cover with clean cloth · Do not use ice or butter,Analgesics · Topical silver sulfadiazine · Antibiotics · IV fluids · Skin grafting,"Burns larger than palm, facial burns, electrical burns, or chemical burns",moderate
genital herpes,Sexually transmitted viral infection causing painful genital blisters.,Warm sitz bath · Loose clothing · Avoid sexual contact during outbreak · Stress management,Acyclovir · Valacyclovir · Famciclovir · Suppressive therapy for frequent outbreaks,"Frequent recurrences, complications in pregnancy, or severe first episode",moderate
gallstone,Hard deposits in gallbladder causing severe right upper abdominal pain after meals.,Low fat diet · Maintain healthy weight · Stay hydrated · Avoid crash dieting,Analgesics · Antispasmodics · Ursodeoxycholic acid · Laparoscopic cholecystectomy,"Severe pain, fever, jaundice, or persistent nausea and vomiting",moderate
multiple sclerosis,Autoimmune disease damaging myelin in CNS causing variable neurological symptoms.,Regular exercise · Vitamin D · Avoid overheating · Stress management · Adequate sleep,Interferon beta · Glatiramer · Natalizumab · Ocrelizumab · Corticosteroids for relapses,"New neurological symptoms, vision loss, or significant disability progression",severe
hyperlipidemia,Elevated blood fats including cholesterol and triglycerides increasing cardiovascular risk.,Low saturated fat diet · Regular exercise · Reduce sugar · Omega-3 foods · Quit smoking,Statins · Fibrates · Omega-3 supplements · Ezetimibe · PCSK9 inhibitors,"Cardiovascular symptoms, pancreatitis risk, or very high triglycerides above 500",moderate
ulcerative colitis,Chronic inflammatory bowel disease causing ulcers in colon and rectum.,Low residue diet during flare · Stress management · Probiotics · Adequate hydration,Aminosalicylates · Corticosteroids · Immunomodulators · Biologics · Surgery,"Blood in stool, severe abdominal pain, fever, or significant weight loss",moderate
angina,Chest pain from reduced coronary blood flow during physical or emotional stress.,Rest immediately · Nitrate under tongue · Cardiac rehabilitation · Heart-healthy diet,Nitrates · Beta blockers · Calcium channel blockers · Aspirin · Revascularization,"Chest pain at rest, prolonged pain, or associated with sweating and nausea",severe
colorectal cancer,Malignant tumor of colon or rectum requiring specialist oncology care.,Seek specialist care immediately — high fiber diet · Regular colonoscopy screening,Surgery · Chemotherapy · Radiation · Targeted therapy · Immunotherapy,Always requires immediate gastroenterology and oncology evaluation,severe
diabetic ketoacidosis,Life-threatening complication of diabetes with very high blood sugar and ketones.,Seek emergency care immediately — do not attempt home management,IV insulin · IV fluids · Potassium replacement · Bicarbonate · ICU monitoring,Immediately — DKA is a life-threatening diabetic emergency,severe
obsessive compulsive disorder (ocd),Mental disorder causing unwanted obsessive thoughts and repetitive compulsive behaviors.,Mindfulness · Delay compulsions · Exposure practice · Regular exercise · Support groups,SSRIs · Clomipramine · CBT with ERP · Augmentation with antipsychotics,Obsessions and compulsions taking more than 1 hour daily or causing severe distress,moderate
hyponatremia,"Low blood sodium causing nausea, headache, confusion and seizures.",Fluid restriction · Salt-containing foods · Seek medical assessment,Hypertonic saline (severe) · Salt tablets · Treat underlying cause · Fluid restriction,"Confusion, seizures, or sodium below 125 mEq/L — emergency treatment needed",severe
bone disorder,"General term for conditions affecting bone density, structure or metabolism.",Weight-bearing exercise · Calcium and vitamin D · Avoid smoking · Fall prevention,Bisphosphonates · Denosumab · Calcium supplements · Vitamin D · Teriparatide,"Fracture with minimal trauma, bone pain at rest, or rapid bone loss",moderate
personality disorder,Enduring patterns of thinking and behavior causing distress and relationship difficulties.,Structured routine · Dialectical behavior therapy · Mindfulness · Social skills training,Mood stabilizers · Antidepressants · Antipsychotics · Psychotherapy,"Self-harm, suicidal ideation, or inability to maintain daily functioning",moderate
shingles (herpes zoster),Reactivation of chickenpox virus causing painful unilateral rash and nerve pain.,Cool compresses · Calamine lotion · Loose clothing · Rest · Avoid scratching,Antiviral medications · Analgesics · Gabapentin · Corticosteroids · Capsaicin cream,"Eye involvement, severe pain, widespread rash, or immunocompromised state",moderate
strep throat,"Bacterial throat infection causing severe sore throat, fever and swollen lymph nodes.",Salt water gargle · Honey lemon tea · Cold fluids · Rest · Throat lozenges,Penicillin · Amoxicillin · Azithromycin · Analgesics · Antipyretics,"No improvement after 48 hours of antibiotics, rash, or difficulty breathing",mild
osteomyelitis,"Bone infection usually bacterial causing severe bone pain, fever and swelling.",Seek medical care promptly · Rest affected limb · Wound care if open,IV antibiotics · Surgical debridement · Hyperbaric oxygen · Bone grafting,"Fever with bone pain, chronic non-healing wound, or diabetic foot infection",severe
viral hepatitis,Liver inflammation from hepatitis viruses causing jaundice and liver dysfunction.,Rest · Avoid alcohol · Nutritious diet · Hydration · Avoid hepatotoxic medications,Antivirals (Hep B and C) · Interferons · Supportive care · Liver transplant if severe,"Jaundice, confusion, bleeding tendency, or known contact with hepatitis case",moderate
gastritis,"Inflammation of stomach lining causing pain, nausea and indigestion.",Small frequent meals · Avoid spicy foods · Ginger tea · Aloe vera juice · No alcohol,Antacids · PPIs · H2 blockers · Antibiotics if H. pylori · Bismuth subsalicylate,"Vomiting blood, black stools, or severe persistent abdominal pain",mild
skin cancer,Malignant tumor of skin cells requiring specialist evaluation and treatment.,Seek specialist care immediately — sun protection · Regular skin checks,Surgical excision · Mohs surgery · Radiation · Immunotherapy · Targeted therapy,"Any changing mole, non-healing sore, or suspicious skin lesion",severe
tonsillitis,"Inflammation of tonsils causing severe sore throat, fever and difficulty swallowing.",Warm salt water gargle · Cold ice cream · Rest · Honey · Adequate fluids,Antibiotics · Analgesics · Antipyretics · Throat lozenges · Tonsillectomy if recurrent,"Difficulty breathing, drooling, muffled voice, or symptoms over 10 days",mild
stomach cancer,Malignant tumor of stomach wall requiring specialist oncology management.,Seek specialist care immediately — nutritional support · Small frequent meals,Surgery · Chemotherapy · Radiation · Targeted therapy (trastuzumab) · Palliative care,Always requires immediate gastroenterology and oncology evaluation,severe
delirium,Acute confused state with fluctuating consciousness and disorientation.,Safe environment · Reorientation · Adequate lighting · Maintain sleep cycle · Hydration,Treat underlying cause · Haloperidol · Quetiapine · Avoid sedatives · Thiamine,Any acute onset confusion in elderly especially with fever or medication change,severe
guillain barre syndrome,Autoimmune disorder damaging peripheral nerves causing ascending paralysis.,Seek emergency care immediately — monitor breathing closely,IVIG · Plasmapheresis · Supportive ventilation · Physiotherapy · Pain management,Any ascending weakness or breathing difficulty — immediate hospitalization,severe
lumbago,"Lower back pain from muscle strain, disc problems or postural issues.",Rest · Hot or cold therapy · Gentle stretching · Posture correction · McKenzie exercises,NSAIDs · Muscle relaxants · Analgesics · Physiotherapy · Epidural steroid injection,"Leg numbness, bladder or bowel changes, or pain from injury or cancer",mild
peripheral arterial disease,Narrowed peripheral arteries reducing blood flow to limbs causing leg pain.,Regular walking · Quit smoking · Foot care · Heart-healthy diet · Wound care,Antiplatelets · Statins · Cilostazol · Revascularization · Wound care,"Non-healing foot ulcer, gangrene, or rest pain in leg",severe
chronic back pain,Back pain persisting more than 3 months significantly affecting quality of life.,Gentle yoga · Swimming · Heat therapy · Posture exercises · Weight management,NSAIDs · Muscle relaxants · Antidepressants · Epidural steroids · Physiotherapy,"Leg weakness, bladder or bowel involvement, or fever with back pain",moderate
heart failure,Heart unable to pump sufficient blood causing breathlessness and fluid retention.,Low sodium diet · Fluid restriction · Daily weighing · Gentle exercise · Elevation,ACE inhibitors · Beta blockers · Diuretics · Spironolactone · SGLT2 inhibitors,"Sudden breathlessness, weight gain of 2kg in 2 days, or ankle swelling",severe
conjunctivitis,Inflammation of conjunctiva causing red watery or sticky eyes.,Warm compress · Saline eye wash · Avoid touching eyes · Separate towels,Antibiotic eye drops · Antihistamine drops · Lubricant drops · Steroid drops,"Vision changes, severe pain, or no improvement after 5 days",mild
herniated disk,Disc material pressing on spinal nerve causing back and leg pain.,Gentle walking · Ice or heat · Anti-inflammatory diet · Avoid lifting · Posture care,NSAIDs · Muscle relaxants · Epidural steroids · Physiotherapy · Surgery if severe,"Bladder or bowel dysfunction, progressive weakness, or severe uncontrolled pain",moderate
pulmonary embolism,Blood clot in pulmonary artery blocking blood flow to lung — emergency.,Seek emergency care immediately,Anticoagulants · Thrombolytics (massive PE) · Oxygen · IVC filter · Surgery,Immediately — pulmonary embolism can be rapidly fatal,severe
melanoma,Aggressive skin cancer from melanocytes requiring immediate specialist care.,Seek specialist care immediately — sun protection · Regular skin checks,Wide local excision · Sentinel node biopsy · Immunotherapy · Targeted therapy,Any suspicious changing darkening mole or new pigmented lesion,severe
laryngitis,"Inflammation of larynx causing hoarseness, loss of voice and throat discomfort.",Voice rest · Stay hydrated · Steam inhalation · Honey · Avoid whispering,Analgesics · Corticosteroids (short course) · Antibiotics if bacterial · Antireflux therapy,"Hoarseness lasting more than 2 weeks, breathing difficulty, or coughing blood",mild
eczema,Chronic inflammatory skin condition causing itchy dry and red patches.,Moisturize frequently · Avoid triggers · Short lukewarm baths · Oatmeal bath · Cotton clothing,Topical corticosteroids · Antihistamines · Calcineurin inhibitors · Dupilumab,"Skin infection, widespread rash, or severe sleep disruption from itching",mild
gastroduodenal ulcer,Open sore in stomach or duodenum lining causing burning epigastric pain.,Avoid NSAIDs and alcohol · Small meals · No spicy foods · Probiotics · Stress reduction,PPIs · H2 blockers · Antibiotics for H. pylori · Bismuth · Antacids,"Vomiting blood, black tarry stools, severe pain, or unexplained weight loss",moderate
inguinal hernia,Tissue protrudes through weak spot in abdominal muscles near groin.,Avoid heavy lifting · Weight management · High fiber diet to prevent straining,Pain relievers · Surgical hernioplasty (definitive treatment) · Truss belt,"Sudden severe pain, non-reducible hernia, or signs of bowel obstruction",moderate
paronychia,Infection of skin around fingernail or toenail causing redness and pus.,Warm water soaks 3-4 times daily · Keep area clean and dry · Avoid nail biting,Antibiotics · Antifungals · Incision and drainage · Partial nail removal if severe,"Spreading redness, fever, or abscess formation not improving with home care",mild
mucositis,Inflammation and ulceration of mucous membranes often from chemotherapy.,Gentle saline rinse · Soft foods · Cool liquids · Good oral hygiene · Avoid irritants,Analgesics · Topical anesthetics · Antifungals if oral thrush · Growth factors,"Inability to eat or drink, severe pain, or signs of oral infection",moderate
spondylolisthesis,One vertebra slips forward over the one below causing back and leg pain.,Core strengthening exercises · Physical therapy · Weight management · Avoid impact sports,NSAIDs · Analgesics · Physiotherapy · Epidural steroids · Surgical fusion,"Leg weakness, bladder or bowel symptoms, or progressive slippage on imaging",moderate
kaposi sarcoma,Malignant tumor of blood vessel walls often associated with HIV infection.,Seek specialist care immediately — antiretroviral therapy for HIV-associated KS,Antiretrovirals · Chemotherapy · Radiation · Immunotherapy · Targeted therapy,Always requires immediate oncology and infectious disease specialist evaluation,severe
conjunctivitis due to virus,"Viral eye infection causing redness, watery discharge and irritation.",Warm compress · Saline eye rinse · Avoid touching eyes · Separate towels and pillowcase,Lubricant eye drops · Antiviral drops if herpes · Symptomatic treatment only,"Vision changes, corneal involvement, or symptoms beyond 2 weeks",mild
anemia,"Reduced red blood cells or hemoglobin causing fatigue, pallor and weakness.",Iron-rich foods · Vitamin C with iron foods · Folate-rich greens · Beetroot juice · Dates,Iron supplements · Folic acid · Vitamin B12 · Erythropoietin · Transfusion if severe,"Hemoglobin below 7 g/dL, chest pain, or breathlessness at rest",moderate
tendinitis,Inflammation of tendon causing localized pain and tenderness near a joint.,RICE — Rest Ice Compress Elevate · Gentle stretching · Eccentric exercises · Avoid overuse,NSAIDs · Corticosteroid injection · PRP therapy · Physiotherapy · Surgery if chronic,"Severe pain, complete tendon rupture, or no improvement after 3 months",mild
common cold,"Mild viral upper respiratory infection causing runny nose, sneezing and mild symptoms.",Steam inhalation · Warm fluids · Rest · Turmeric milk · Saline nasal drops · Honey,Antihistamines · Decongestants · Analgesics · Zinc lozenges · Vitamin C,"Symptoms persisting beyond 10 days, worsening, or associated high fever",mild
amyotrophic lateral sclerosis (als),Progressive neurodegenerative disease affecting motor neurons causing muscle weakness.,Physical therapy · Assistive devices · Nutritional support · Speech therapy · Palliative care,Riluzole · Edaravone · Symptomatic medications · Respiratory support,Always requires immediate neurology specialist for diagnosis and management,severe
venous insufficiency,"Inadequate venous return from legs causing swelling, skin changes and ulcers.",Elevate legs · Compression stockings · Regular walking · Weight management,Compression therapy · Diuretics · Wound care · Venous ablation · Surgery,"Non-healing leg ulcer, severe swelling, or skin breakdown",moderate
diabetes insipidus,Rare condition causing extreme thirst and large amounts of dilute urine.,Adequate fluid intake · Monitor fluid balance · Salt-restricted diet,Desmopressin · Thiazide diuretics (nephrogenic) · Indomethacin · Treat underlying cause,"Severe dehydration, electrolyte imbalance, or loss of consciousness",moderate
varicocele of the testicles,Enlargement of veins in scrotum causing dull ache and possibly affecting fertility.,Supportive underwear · Avoid prolonged standing · Semen analysis monitoring,Surgical varicocelectomy · Percutaneous embolization · Analgesics for pain,"Significant pain, testicular atrophy, or infertility evaluation needed",mild
fracture of the foot,"Broken bone in foot causing severe pain, swelling and inability to bear weight.",RICE — Rest Ice Compress Elevate · Immobilize foot · No weight bearing,Analgesics · Casting · Surgical fixation (displaced) · Physiotherapy,Always requires X-ray and orthopedic evaluation,moderate
thyroid nodule,Abnormal growth in thyroid gland requiring evaluation to rule out malignancy.,Regular monitoring · Adequate iodine intake · Thyroid function monitoring,Levothyroxine suppression · Radioactive iodine · Surgical excision if malignant,"Rapid growth, voice change, difficulty swallowing, or suspicious features on ultrasound",mild
lymphadenitis,"Inflammation of lymph nodes causing swelling, tenderness and sometimes fever.",Warm compress · Rest · Adequate hydration · Treat underlying infection,Antibiotics · Analgesics · Antivirals if viral cause · Surgical drainage if abscess,"Rapidly enlarging node, hard fixed node, or persistent beyond 4 weeks",moderate
aortic valve disease,Dysfunction of aortic valve causing stenosis or regurgitation affecting heart function.,Regular cardiac monitoring · Low sodium diet · Avoid strenuous exertion,Diuretics · ACE inhibitors · Beta blockers · Surgical valve replacement or TAVR,"Chest pain, fainting, breathlessness on exertion, or rapid symptom progression",severe
anal fistula,Abnormal tunnel between anal canal and skin causing pain and discharge.,Sitz bath · High fiber diet · Adequate fluids · Good hygiene · Manage Crohn disease,Antibiotics · Surgical fistulotomy · Seton placement · Biological therapy for Crohn,"Increasing pain, fever, or abscess formation",moderate
hypothermia,Dangerously low core body temperature below 35°C from cold exposure.,Move to warm area · Remove wet clothing · Wrap in blankets · Warm sweet drinks,IV warm fluids · Warm humidified oxygen · Cardiac monitoring · Rewarming techniques,"Core temperature below 35°C, confusion, or loss of consciousness",severe
iron deficiency anemia,Low iron stores causing inadequate red blood cell production and fatigue.,Red meat · Leafy greens · Legumes · Vitamin C to enhance iron absorption · Cook in iron pans,Ferrous sulfate · Iron polymaltose · IV iron (severe) · Folic acid · Treat underlying cause,"Hemoglobin below 8 g/dL, heart palpitations, or dizziness on standing",moderate
hypokalemia,"Low blood potassium causing muscle weakness, cramps and heart arrhythmias.",Potassium-rich foods — bananas · oranges · potatoes · spinach · Adequate hydration,Oral potassium supplements · IV potassium (severe) · Treat underlying cause,"Muscle paralysis, cardiac arrhythmia, or severe weakness",moderate
